USER COMMAND,INSTRUCTIONS,INPUT,XML BEHAVIOR TREE OUTPUT
perform a coordinated delivery mission with other robots in the swarm.,Use the following behaviors to generate XML Behavior tree based on the user command: take_off: Action node - Initiate the delivery mission by taking off. pick_up_package: Action node - Pick up the package from the designated location. deliver_package: Action node - Deliver the package to the designated location. synchronize_delivery: Action node - Synchronize with other robots to ensure successful delivery. return_to_base: Action node - Return to base with completed mission.,Coordinated delivery mission with other robots in the swarm.,"
<BehaviorTree>
<Sequence>
<Action>take_off</Action>
<Selector>
<Sequence>
<Condition>detect_package</Condition>
<Action>pick_up_package</Action>
<Action>deliver_package</Action>
<Action>synchronize_delivery</Action>
<Action>return_to_base</Action>
</Sequence>
<Action>deliver_package</Action>
</Selector>
</Sequence>
</BehaviorTree>"
"while monitoring crops, use fertilization and pest control behaviors to maintain healthy plants.",Use the following behaviors to generate XML Behavior tree based on the user command: check_crops: Condition node - Check the health of the crops. fertilize: Action node - Spread fertilizer over the crops. pest_control: Action node - Use pest control methods to protect the crops. crop_monitor: Action node - Continuously monitor the health of the crops.,"While monitoring crops, use fertilization and pest control behaviors to maintain healthy plants.","
<BehaviorTree>
<Sequence>
<Action>crop_monitor</Action>
<Selector>
<Sequence>
<Condition>check_crops</Condition>
<Action>fertilize</Action>
<Action>crop_monitor</Action>
</Sequence>
<Action>pest_control</Action>
</Selector>
</Sequence>
</BehaviorTree>"
utilize formation behaviors to maintain a specific shape while moving.,"Use only the following behaviors to generate XML Behavior tree based on the user command: {maintain_formation: 'Action node: Maintain the specified formation while moving.
Returns: Always returns True, indicating the action was executed.', adjust_formation: 'Action node: Adjust the formation based on input from other robots.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.",Utilize formation behaviors to maintain a specific shape while moving.,"
<BehaviorTree>
<Sequence>
<Action>maintain_formation</Action>
<Action>adjust_formation</Action>
</Sequence>
</BehaviorTree>"
"if temperature drops, deploy heaters to ensure the survival of plants.","Use only the following behaviors to generate XML Behavior tree based on the user command: {check_temperature: 'Condition node: Check the temperature.
Returns: True if temperature is below threshold, otherwise False.', deploy_heaters: 'Action node: Deploy heaters to maintain a suitable temperature.
Returns: Always returns True, indicating the action was executed.'} to construct a behavior tree in XML format to the following command.","If temperature drops, deploy heaters to ensure the survival of plants.","
<BehaviorTree>
<Sequence>
<Condition>check_temperature</Condition>
<Action>deploy_heaters</Action>
</Sequence>
</BehaviorTree>"
continuously scan for hazardous materials and dispose of them in designated containers.,Use the following behaviors to generate XML Behavior tree based on the user command: scan_environment: Action node - Scan the environment for hazardous materials. detect_hazard: Condition node - Check if a hazardous material is detected. dispose_hazard: Action node - Dispose of the hazardous material in a designated container. repeat_scan: Action node - Continuously scan the environment.,Continuously scan for hazardous materials and dispose of them in designated containers.,"
<BehaviorTree>
<Sequence>
<Action>scan_environment</Action>
<Selector>
<Sequence>
<Condition>detect_hazard</Condition>
<Action>dispose_hazard</Action>
<Action>repeat_scan</Action>
</Sequence>
<Action>repeat_scan</Action>
</Selector>
</Sequence>
</BehaviorTree>"
work together with other robots to construct a path or bridge for safe passage.,Use the following behaviors to generate XML Behavior tree based on the user command: start_project: Action node - Begin the project of constructing a path or bridge. gather_materials: Action node - Collect necessary materials from the surrounding environment. construct: Action node - Build the path or bridge with the materials. check_safety: Condition node - Check the safety of the constructed structure. continue_project: Action node - Continue working together with other robots to complete the project.,Work together with other robots to construct a path or bridge for safe passage.,"
<BehaviorTree>
<Selector>
<Sequence>
<Condition>check_safety</Condition>
<Action>start_project</Action>
<Action>gather_materials</Action>
<Action>construct</Action>
<Action>continue_project</Action>
</Sequence>
<Action>continue_project</Action>
</Selector>
</BehaviorTree>"
"Explore the environment while avoiding obstacles. If an obstacle is detected, navigate around it.",Use the following behaviors to generate XML Behavior tree based on the user command: explore_environment: Action node (same as before). detect_obstacles: Condition node - Checks if any obstacles are detected in the environment. navigate_around_obstacle: Action node - Makes the agent navigate around the detected obstacle.,"Explore the environment while avoiding obstacles. If an obstacle is detected, navigate around it.","
<BehaviorTree>
<Sequence>
<Action>explore_environment</Action>
</Sequence>
<Sequence>
<Condition>detect_obstacles</Condition>
<Action>navigate_around_obstacle</Action>
</Sequence>
</BehaviorTree>"
Gather resources from multiple locations and return them to a designated area.,Use the following behaviors to generate XML Behavior tree based on the user command: gather_resources: Subtree node - Represents a behavior tree for gathering resources from multiple locations. return_resources: Action node - Makes the agent return to a designated area with the collected resources.,Gather resources from multiple locations and return them to a designated area.,"
<BehaviorTree>
<Sequence>
<Action>gather_resources</Action>
<Action>return_resources</Action>
</Sequence>
</BehaviorTree>"
"Attack enemy robots in the vicinity. If outnumbered, retreat and regroup with allies.",Use the following behaviors to generate XML Behavior tree based on the user command: attack_enemies: Action node - Makes the agent engage in combat with enemy robots in the vicinity. outnumbered: Condition node - Checks if the agent is outnumbered by enemy robots. regroup_with_allies: Action node - Makes the agent retreat and regroup with allied robots.,"Attack enemy robots in the vicinity. If outnumbered, retreat and regroup with allies.","
<BehaviorTree>
<Sequence>
<Action>attack_enemies</Action>
<Selector>
<Sequence>
<Condition>outnumbered</Condition>
<Action>regroup_with_allies</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
"Search for a specific target in the environment while watching out for threats. If target is found, approach and attack.",Use the following behaviors to generate XML Behavior tree based on the user command: search_target: Subtree node - Represents a behavior tree for searching the environment for a specific target. watch_for_threats: Action node - Makes the agent constantly scan for potential threats. approach_target: Action node - Makes the agent approach the identified target. attack_target: Action node - Makes the agent engage in combat with the target.,"Search for a specific target in the environment while watching out for threats. If target is found, approach and attack.","
<BehaviorTree>
<Sequence>
<Action>search_target</Action>
<Action>watch_for_threats</Action>
<Selector>
<Sequence>
<Condition>target_found</Condition>
<Action>approach_target</Action>
<Action>attack_target</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
"Retrieve a lost object from a designated location. If unable to find it, ask for assistance from nearby robots.",Use the following behaviors to generate XML Behavior tree based on the user command: retrieve_object: Action node - Makes the agent search for and retrieve a lost object from the designated location. unable_to_find_object: Condition node - Checks if the agent is unable to find the object. ask_for_assistance: Action node - Makes the agent communicate with nearby robots to request assistance.,"Retrieve a lost object from a designated location. If unable to find it, ask for assistance from nearby robots.","
<BehaviorTree>
<Sequence>
<Action>retrieve_object</Action>
<Selector>
<Sequence>
<Condition>unable_to_find_object</Condition>
<Action>ask_for_assistance</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
"Survey the environment and gather data for map creation. If obstructed, scan for alternative routes.",Use the following behaviors to generate XML Behavior tree based on the user command: survey_environment: Action node - Makes the agent move around and gather data for map creation. obstructed: Condition node - Checks if the agent is facing any obstructions. scan_for_alternative_routes: Action node - Makes the agent scan for alternative routes to continue surveying.,"Survey the environment and gather data for map creation. If obstructed, scan for alternative routes.","
<BehaviorTree>
<Sequence>
<Action>survey_environment</Action>
</Sequence>
<Sequence>
<Condition>obstructed</Condition>
<Action>scan_for_alternative_routes</Action>
</Sequence>
</BehaviorTree>"
"Defend the designated base from enemy attacks. If outnumbered, retreat and call for reinforcements.",Use the following behaviors to generate XML Behavior tree based on the user command: defend_base: Action node - Makes the agent engage in combat with enemy robots attacking the designated base. outnumbered: Condition node - Checks if the agent is outnumbered by enemy robots. retreat: Action node - Makes the agent retreat to a safer location. call_for_reinforcements: Action node - Makes the agent request reinforcements from nearby robots.,"Defend the designated base from enemy attacks. If outnumbered, retreat and call for reinforcements.","
<BehaviorTree>
<Sequence>
<Action>defend_base</Action>
<Selector>
<Sequence>
<Condition>outnumbered</Condition>
<Action>retreat</Action>
<Action>call_for_reinforcements</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
"Transport a heavy object to a specific location. If the object is dropped, pick it up and continue moving.",Use the following behaviors to generate XML Behavior tree based on the user command: transport_object: Action node - Makes the agent move while carrying a heavy object to a specific location. object_dropped: Condition node - Checks if the agent has dropped the object. pick_up_object: Action node - Makes the agent pick up the dropped object and continue moving with it.,"Transport a heavy object to a specific location. If the object is dropped, pick it up and continue moving.","
<BehaviorTree>
<Sequence>
<Action>transport_object</Action>
<Sequence>
<Condition>object_dropped</Condition>
<Action>pick_up_object</Action>
<Action>transport_object</Action>
</Sequence>
</Sequence>
</BehaviorTree>"
Work together with other robots to lift and move a large obstacle.,Use the following behaviors to generate XML Behavior tree based on the user command: lift_obstacle: Action node - Makes the agent gather with other robots to lift and move a large obstacle. check_cooperation: Action node - Makes the agent communicate with other robots to ensure cooperation in lifting the obstacle. move_to_destinations: Subtree node - Represents a behavior tree for moving the obstacle to the designated destination.,Work together with other robots to lift and move a large obstacle.,"
<BehaviorTree>
<Sequence>
<Action>lift_obstacle</Action>
<Action>check_cooperation</Action>
<Action>move_to_destinations</Action>
</Sequence>
</BehaviorTree>"
Search for and rescue trapped robots in a disaster-stricken area.,Use the following behaviors to generate XML Behavior tree based on the user command: search_area: Action node - Makes the agent search the disaster-stricken area for any trapped robots. rescue_robot: Action node - Makes the agent use the appropriate tools to rescue a trapped robot. check_rescue_success: Condition node - Checks if the rescue was successful. move_to_next_location: Action node - Makes the agent move to the next designated location to continue the search and rescue mission.,Search for and rescue trapped robots in a disaster-stricken area.,"
<BehaviorTree>
<Sequence>
<Selector>
<Sequence>
<Action>search_area</Action>
<Sequence>
<Condition>robot_found</Condition>
<Action>rescue_robot</Action>
<Selector>
<Sequence>
<Condition>check_rescue_success</Condition>
<Action>move_to_next_location</Action>
</Sequence>
</Selector>
</Sequence>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
Navigate through a maze and reach the end point.,Use the following behaviors to generate XML Behavior tree based on the user command: navigate_maze: Action node - Makes the agent navigate through the maze using its sensors and predefined pathfinding algorithm. check_finished: Condition node - Checks if the agent has reached the end point. move_to_next_step: Action node - Makes the agent move to the next step according to the predefined path.,Navigate through a maze and reach the end point.,"
<BehaviorTree>
<Sequence>
<Action>navigate_maze</Action>
<Sequence>
<Condition>not_finished</Condition>
<Action>move_to_next_step</Action>
</Sequence>
</Sequence>
</BehaviorTree>"
Coordinated movement with other robots to form a specific shape or figure.,Use the following behaviors to generate XML Behavior tree based on the user command: move_to_designated_locations: Subtree node - Represents a behavior tree for each agent to move to the designated location for forming the shape. communicate_and_align: Action node - Makes the agent communicate with other robots to align themselves into the specified shape.,Coordinated movement with other robots to form a specific shape or figure.,"
<BehaviorTree>
<Sequence>
<Action>move_to_designated_locations</Action>
<Selector>
<Sequence>
<Condition>reached_designated_locations</Condition>
<Action>communicate_and_align</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
Collaborate with other robots to build a structure using provided materials.,Use the following behaviors to generate XML Behavior tree based on the user command: search_for_materials: Action node - Makes the agent search and gather the required materials for building the structure. build_structure: Action node - Makes the agent use the gathered materials to build the desired structure. check_completion: Condition node - Checks if the structure has been built successfully.,Collaborate with other robots to build a structure using provided materials.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>search_for_materials</Action>
<Sequence>
<Condition>has_materials</Condition>
<Action>build_structure</Action>
</Sequence>
</Selector>
</Sequence>
<Selector>
<Sequence>
<Condition>check_completion</Condition>
<Action>celebrate</Action>
</Sequence>
</Selector>
</BehaviorTree>"
Search for and collect valuable resources in a designated area.,Use the following behaviors to generate XML Behavior tree based on the user command: search_area: Action node - Makes the agent search a designated area for valuable resources. collect_resource: Action node - Makes the agent collect the valuable resource. check_collect_success: Condition node - Checks if the resource was successfully collected. move_to_next_location: Action node - Makes the agent move to the next designated location to continue the resource collection mission.,Search for and collect valuable resources in a designated area.,"
<BehaviorTree>
<Sequence>
<Selector>
<Sequence>
<Action>search_area</Action>
<Sequence>
<Condition>resource_found</Condition>
<Action>collect_resource</Action>
<Selector>
<Sequence>
<Condition>check_collect_success</Condition>
<Action>move_to_next_location</Action>
</Sequence>
</Selector>
</Sequence>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
Cooperate with other robots to clear debris from a disaster-stricken area.,Use the following behaviors to generate XML Behavior tree based on the user command: clear_debris: Action node - Makes the agent use its tools and sensors to clear debris from the designated area. notify_progress: Action node - Makes the agent communicate with other robots to inform them of the progress made. check_completion: Condition node - Checks if all debris has been cleared from the designated area.,Cooperate with other robots to clear debris from a disaster-stricken area.,"
<BehaviorTree>
<Sequence>
<Action>clear_debris</Action>
<Sequence>
<Condition>not_finished</Condition>
<Action>notify_progress</Action>
</Sequence>
<Selector>
<Sequence>
<Action>check_completion</Action>
<Action>celebrate</Action>
</Sequence>
</Selector>
</BehaviorTree>"
Navigate through a hazardous environment and reach a safe zone.,Use the following behaviors to generate XML Behavior tree based on the user command: navigate_hazardous_area: Action node - Makes the agent navigate through the hazardous environment while avoiding any dangers. check_safe: Condition node - Checks if the agent has reached a safe zone. move_to_next_step: Action node - Makes the agent move to the next step according to the predefined path.,Navigate through a hazardous environment and reach a safe zone.,"
<BehaviorTree>
<Sequence>
<Action>navigate_hazardous_area</Action>
<Sequence>
<Condition>not_safe</Condition>
<Action>move_to_next_step</Action>
</Sequence>
<Selector>
<Sequence>
<Condition>check_safe</Condition>
<Action>celebrate</Action>
</Sequence>
</Selector>
</BehaviorTree>"
Carry out a designated task while communicating and coordinating with other robots in the vicinity.,Use the following behaviors to generate XML Behavior tree based on the user command: carry_out_task: Action node - Makes the agent carry out the designated task while using its sensors and tools. communicate: Action node - Enables the agent to communicate with other robots in the vicinity. coordinate: Action node - Makes the agent coordinate its actions with other robots to efficiently complete the task.,Carry out a designated task while communicating and coordinating with other robots in the vicinity.,"
<BehaviorTree>
<Sequence>
<Selector>
<Sequence>
<Action>carry_out_task</Action>
<Action>communicate</Action>
<Action>coordinate</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>4."
Collect resources from different locations and deposit them at a designated area.,Use the following behaviors to generate XML Behavior tree based on the user command: collect_resources: Action node - Makes the agent collect resources from the environment. deposit_resources: Action node - Makes the agent deposit resources at a designated area. check_designated_area: Condition node - Checks if the agent is at the designated deposit area.,Collect resources from different locations and deposit them at a designated area.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>check_designated_area</Action>
<Action>deposit_resources</Action>
</Sequence>
<Action>collect_resources</Action>
</Selector>
</BehaviorTree>"
"If a member of the swarm gets stuck, activate a rescue protocol to assist them.",Use the following behaviors to generate XML Behavior tree based on the user command: check_swarm_status: Condition node - Checks if any member of the swarm is stuck. activate_rescue_protocol: Action node - Triggers a coordinated rescue protocol to assist the stuck member.,"If a member of the swarm gets stuck, activate a rescue protocol to assist them.","
<BehaviorTree>
<Sequence>
<Condition>check_swarm_status</Condition>
<Action>activate_rescue_protocol</Action>
</Sequence>
</BehaviorTree>"
Prioritize attacking enemies that pose the biggest threat first.,"Use the following behaviors to generate XML Behavior tree based on the user command: prioritze_targets: Action node - Makes the agent prioritize targets based on a set of rules (e.g. threat level, proximity). attack_target: Action node - Makes the agent attack the prioritized target.",Prioritize attacking enemies that pose the biggest threat first.,"
<BehaviorTree>
<Sequence>
<Action>prioritize_targets</Action>
<Action>attack_target</Action>
</Sequence>
</BehaviorTree>"
Avoid obstacles while navigating to a specific location.,Use the following behaviors to generate XML Behavior tree based on the user command: avoid_obstacles: Action node - Makes the agent avoid obstacles while moving to a target location. go_to_location: Action node (same as before). check_for_obstacles: Condition node - Checks for any obstacles in the agent's path.,Avoid obstacles while navigating to a specific location.,"
<BehaviorTree>
<Selector>
<Condition>check_for_obstacles</Condition>
<Sequence>
<Action>avoid_obstacles</Action>
<Action>go_to_location</Action>
</Sequence>
</Selector>
</BehaviorTree>"
Respond to distress calls from other agents in the swarm.,Use the following behaviors to generate XML Behavior tree based on the user command: listen_for_distress_calls: Condition node - Checks for any incoming distress calls from other agents. respond_to_distress_call: Action node - Triggers a coordinated response to assist the agent in distress.,Respond to distress calls from other agents in the swarm.,"
<BehaviorTree>
<Sequence>
<Condition>listen_for_distress_calls</Condition>
<Action>respond_to_distress_call</Action>
</Sequence>
</BehaviorTree>"
Explore the environment while maintaining a safe distance from known threats.,Use the following behaviors to generate XML Behavior tree based on the user command: explore_area: Action node - Makes the agent explore the environment. maintain_safe_distance: Action node - Makes the agent maintain a safe distance from known threats. check_threats: Condition node - Checks for known threats in the environment.,Explore the environment while maintaining a safe distance from known threats.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>check_threats</Action>
<Action>maintain_safe_distance</Action>
</Sequence>
<Action>explore_area</Action>
</Selector>
</BehaviorTree>"
Retrieve a lost teammate and bring them back to the group.,Use the following behaviors to generate XML Behavior tree based on the user command: find_lost_teammate: Action node - Makes the agent search for the lost teammate. retrieve_teammate: Action node - Makes the agent retrieve the lost teammate and bring them back to the group. check_group_status: Condition node - Checks if all members of the group are accounted for.,Retrieve a lost teammate and bring them back to the group.,"
<BehaviorTree>
<Sequence>
<Selector>
<Condition>check_group_status</Condition>
<Sequence>
<Action>find_lost_teammate</Action>
<Action>retrieve_teammate</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
Avoid friendly fire while attacking enemies.,Use the following behaviors to generate XML Behavior tree based on the user command: avoid_friendlies: Action node - Makes the agent avoid friendly units while attacking enemies. attack_target: Action node - Makes the agent attack the specified target. check_friendlies_in_range: Condition node - Checks for friendly units in the agent's attack range.,Avoid friendly fire while attacking enemies.,"
<BehaviorTree>
<Selector>
<Condition>check_friendlies_in_range</Condition>
<Sequence>
<Action>avoid_friendlies</Action>
<Action>attack_target</Action>
</Sequence>
</Selector>
</BehaviorTree>"
Coordinate with other agents to form a defensive formation.,Use the following behaviors to generate XML Behavior tree based on the user command: engage_in_formation: Action node - Makes the agent engage in a coordinated defensive formation with other agents. check_team_status: Condition node - Checks if all members of the team are in formation.,Coordinate with other agents to form a defensive formation.,"
<BehaviorTree>
<Sequence>
<Condition>check_team_status</Condition>
<Action>engage_in_formation</Action>
</Sequence>
</BehaviorTree>"
Prioritize protecting the injured or weaker members of the group.,"Use the following behaviors to generate XML Behavior tree based on the user command: prioritize_targets: Action node - Makes the agent prioritize targets based on a set of rules (e.g. proximity, threat level). protect_target: Action node - Makes the agent protect the prioritized target (e.g. by shielding them). check_team_member_status: Condition node - Checks the status of team members (e.g. health, strength).",Prioritize protecting the injured or weaker members of the group.,"
<BehaviorTree>
<Sequence>
<Action>check_team_member_status</Action>
<Selector>
<Action>protect_target</Action>
<Sequence>
<Action>prioritize_targets</Action>
<Action>protect_target</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
Use specialized behaviors to navigate through complex terrains.,"Use the following behaviors to generate XML Behavior tree based on the user command: navigate_complex_terrains: Action node - Makes the agent use specialized behaviors and strategies to navigate through complex terrains (e.g. climbing, jumping, crawling). check_terrain_difficulty: Condition node - Checks for the difficulty level of the terrain.",Use specialized behaviors to navigate through complex terrains.,"
<BehaviorTree>
<Sequence>
<Action>check_terrain_difficulty</Action>
<Selector>
<Condition>check_team_status</Condition>
<Sequence>
<Action>navigate_complex_terrains</Action>
<Action>take_action_accordingly</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
Perform reconnaissance and gather information about enemy positions.,"Use the following behaviors to generate XML Behavior tree based on the user command: perform_reconnaissance: Action node - Makes the agent use specialized behaviors and strategies to gather information about enemy positions (e.g. stealth, observation). report_information: Action node - Makes the agent report the gathered information to the group leader. check_for_actions_to_take: Condition node - Checks for any specific actions to be taken based on the gathered information.",Perform reconnaissance and gather information about enemy positions.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>perform_reconnaissance</Action>
<Action>report_information</Action>
<Condition>check_for_actions_to_take</Condition>
</Sequence>
<Action>carry_out_task_accordingly</Action>
</Selector>
</BehaviorTree>"
Safeguard valuable resources and prevent theft by enemies.,"Use the following behaviors to generate XML Behavior tree based on the user command: safeguard_resources: Action node - Makes the agent use specialized behaviors and strategies to safeguard valuable resources (e.g. patrolling, setting traps). check_for_enemy_threats: Condition node - Checks for any enemy threats to the resources.",Safeguard valuable resources and prevent theft by enemies.,"
<BehaviorTree>
<Sequence>
<Action>check_for_enemy_threats</Action>
<Selector>
<Condition>is_threat_detected</Condition>
<Sequence>
<Action>safeguard_resources</Action>
<Action>take_appropriate_action</Action>
</Sequence>
</Selector>
<Action>continue_safeguarding</Action>
</Sequence>
</BehaviorTree>"
Communicate with other agents in the swarm using a designated system.,Use the following behaviors to generate XML Behavior tree based on the user command: communicate_with_team: Action node - Makes the agent use designated communication behaviors and strategies to communicate with other agents in the swarm. check_for_new_information: Condition node - Checks for any new information received from other agents. update_strategy_accordingly: Action node - Updates the agent's behavior and strategy based on the received information.,Communicate with other agents in the swarm using a designated system.,"
<BehaviorTree>
<Selector>
<Sequence>
<Action>check_for_new_information</Action>
<Action>update_strategy_accordingly</Action>
</Sequence>
<Action>communicate_with_team</Action>
</MeetByBehaviorTree>"
Maneuver through tight spaces to reach a target location.,"Use the following behaviors to generate XML Behavior tree based on the user command: navigate_through_tight_spaces: Action node - Makes the agent use specialized behaviors and strategies to maneuver through tight spaces (e.g. crawling, squeezing). check_for_obstacles: Condition node - Checks for any obstacles in the tight space.",Maneuver through tight spaces to reach a target location.,"
<BehaviorTree>
<Selector>
<Condition>check_for_obstacles</Condition>
<Sequence>
<Action>navigate_through_tight_spaces</Action>
<Action>reach_target_location</Action>
</Sequence>
</Selector>
</BehaviorTree>"
